d,k,p,q,q_gt_6M,nearest_mu_q,nearest_tau_q,mu_dist_lower,mu_dist_upper,tau_dist_lower,tau_dist_upper,epsilon_lower,threshold_upper
50,72,15136144531388965939312829111354084553,11952668732083860469560629603327231815,True,-7085147180600535043754767819307481285,15136144531388965939312829111354084553,0.360538033703690342454962219560,0.360538033703690342454962219561,0.00000000000000000000000000000000000005032165873899528678995474177292814674055932,0.00000000000000000000000000000000000005032165873899528678995474177292814674055933,0.345441536081991756417975797028,184.96832893710857400005
51,72,15136144531388965939312829111354084553,11952668732083860469560629603327231815,True,-7085147180263425304814239672647848191,15136144531388965939312829111354084553,0.460192727118755278537914642741,0.460192727118755278537914642742,0.00000000000000000000000000000000000005032165873899528678995474177292814674055932,0.00000000000000000000000000000000000005032165873899528678995474177292814674055933,0.445096229497056692500928220209,184.44160228960596512229
52,72,15136144531388965939312829111354084553,11952668732083860469560629603327231815,True,-7085147180055080028208101690167856302,15136144531388965939312829111354084553,0.246583398255002943927506925662,0.246583398255002943927506925663,0.00000000000000000000000000000000000005032165873899528678995474177292814674055932,0.00000000000000000000000000000000000005032165873899528678995474177292814674055933,0.231486900633304357890520503130,185.80018739416005676742
53,72,15136144531388965939312829111354084553,11952668732083860469560629603327231815,True,-7085147179926315565869136284663009846,15136144531388965939312829111354084553,0.076556994285149055029857979725,0.076556994285149055029857979726,0.00000000000000000000000000000000000005032165873899528678995474177292814674055932,0.00000000000000000000000000000000000005032165873899528678995474177292814674055933,0.061460496663450468992871557193,188.55599799642356206174
54,72,15136144531388965939312829111354084553,11952668732083860469560629603327231815,True,-7085147179846734751600216121008339801,15136144531388965939312829111354084553,0.015595920994100784022635189147,0.015595920994100784022635189148,0.00000000000000000000000000000000000005032165873899528678995474177292814674055932,0.00000000000000000000000000000000000005032165873899528678995474177292814674055933,0.000499423372402197985648766615,198.55719806756494391577
55,72,15136144531388965939312829111354084553,11952668732083860469560629603327231815,True,-7085147179797551103529503360444864638,15136144531388965939312829111354084553,0.308272869255093768710710293254,0.308272869255093768710710293255,0.00000000000000000000000000000000000005032165873899528678995474177292814674055932,0.00000000000000000000000000000000000005032165873899528678995474177292814674055933,0.293176371633395182673723870722,185.30923709037804464922
56,72,15136144531388965939312829111354084553,11952668732083860469560629603327231815,True,-7085147179767153937331040987893314595,15136144531388965939312829111354084553,0.065935340778190334875844903252,0.065935340778190334875844903253,0.00000000000000000000000000000000000005032165873899528678995474177292814674055932,0.00000000000000000000000000000000000005032165873899528678995474177292814674055933,0.050838843156491748838858480720,188.95028162871226964293
57,72,15136144531388965939312829111354084553,11952668732083860469560629603327231815,True,-7085147179748367455458693210213626636,15136144531388965939312829111354084553,0.057330880029245266276039275205,0.057330880029245266276039275206,0.00000000000000000000000000000000000005032165873899528678995474177292814674055932,0.00000000000000000000000000000000000005032165873899528678995474177292814674055933,0.042234382407546680239052852673,189.33561308464276606816
58,72,15136144531388965939312829111354084553,11952668732083860469560629603327231815,True,-7085147179736756771132541415798832117,15136144531388965939312829111354084553,0.090638947986149935308916034249,0.090638947986149935308916034250,0.00000000000000000000000000000000000005032165873899528678995474177292814674055932,0.00000000000000000000000000000000000005032165873899528678995474177292814674055933,0.075542450364451349271929611717,188.12728842148505316867
59,72,15136144531388965939312829111354084553,11952668732083860469560629603327231815,True,-7085147179729580973586331223572904426,15136144531388965939312829111354084553,0.184827823458848861672192319314,0.184827823458848861672192319315,0.00000000000000000000000000000000000005032165873899528678995474177292814674055932,0.00000000000000000000000000000000000005032165873899528678995474177292814674055933,0.169731325837150275635205896782,186.44503134943509927845
60,72,15136144531388965939312829111354084553,11952668732083860469560629603327231815,True,-7085147179725146086806384194043867332,15136144531388965939312829111354084553,0.078783099242839324111129186548,0.078783099242839324111129186549,0.00000000000000000000000000000000000005032165873899528678995474177292814674055932,0.00000000000000000000000000000000000005032165873899528678995474177292814674055933,0.063686601621140738074142764016,188.48206056340630830545
61,72,15136144531388965939312829111354084553,11952668732083860469560629603327231815,True,-7085147179722405176040118958287500200,15136144531388965939312829111354084553,0.093402225820744458271829790417,0.093402225820744458271829790418,0.00000000000000000000000000000000000005032165873899528678995474177292814674055932,0.00000000000000000000000000000000000005032165873899528678995474177292814674055933,0.078305728199045872234843367886,188.05263106521254268415
62,72,15136144531388965939312829111354084553,11952668732083860469560629603327231815,True,-7085147179720711200026436372676570901,15136144531388965939312829111354084553,0.314171415767206074421482471197,0.314171415767206074421482471198,0.00000000000000000000000000000000000005032165873899528678995474177292814674055932,0.00000000000000000000000000000000000005032165873899528678995474177292814674055933,0.299074918145507488384496048665,185.26784216938291779966
